y [m],Shear Force [N],Shear Force [N]
4.808025,7121.647899,-7121.647899
4.8237375,6895.300883,-6895.300883
4.83945,6669.890982,-6669.890982
4.8551625,6445.424388,-6445.424388
4.870875,6221.90738,-6221.90738
4.8865875,5999.346329,-5999.346329
4.9023,5777.7477,-5777.7477
4.9180125,5557.118052,-5557.118052
4.933725,5337.464045,-5337.464045
4.9494375,5118.792439,-5118.792439
4.960660372,4963.208241,-4963.208241
4.96515,15260.46974,-15260.46974
4.9808625,15043.78364,-15043.78364
4.996575,14828.10086,-14828.10086
5.0122875,14613.42861,-14613.42861
5.028,14399.77418,-14399.77418
5.0437125,14187.14503,-14187.14503
5.059425,13975.54872,-13975.54872
5.0751375,13764.99292,-13764.99292
5.09085,13555.48548,-13555.48548
5.1065625,13347.03434,-13347.03434
5.122275,13139.64761,-13139.64761
5.1379875,12933.33355,-12933.33355
5.1537,12728.10054,-12728.10054
5.1694125,12523.95716,-12523.95716
5.185125,12320.91211,-12320.91211
5.2008375,12118.97429,-12118.97429
5.21655,11918.15277,-11918.15277
5.2322625,11718.45677,-11718.45677
5.247975,11519.89573,-11519.89573
5.2636875,11322.47927,-11322.47927
5.2794,11126.21722,-11126.21722
5.2951125,10931.11961,-10931.11961
5.310825,10737.19669,-10737.19669
5.3265375,10544.45894,-10544.45894
5.34225,10352.91706,-10352.91706
5.3579625,10162.58201,-10162.58201
5.373675,9973.464994,-9973.464994
5.3893875,9785.577497,-9785.577497
5.4051,9598.931266,-9598.931266
5.4208125,9413.538342,-9413.538342
5.436525,9229.411068,-9229.411068
5.4522375,9046.562104,-9046.562104
5.46795,8865.004439,-8865.004439
5.4836625,8684.751408,-8684.751408
5.499375,8505.816711,-8505.816711
5.5150875,8328.214426,-8328.214426
5.5308,8151.959034,-8151.959034
5.5465125,7977.065435,-7977.065435
5.562225,7803.548971,-7803.548971
5.5779375,7631.425451,-7631.425451
5.59365,7460.711176,-7460.711176
5.6093625,7291.422966,-7291.422966
5.625075,7123.578191,-7123.578191
5.6407875,6957.1948,-6957.1948
5.6565,6792.291361,-6792.291361
5.6722125,6628.887095,-6628.887095
5.687925,6467.001918,-6467.001918
5.7036375,6306.65649,-6306.65649
5.71935,6147.872256,-6147.872256
5.7350625,5990.67151,-5990.67151
5.750775,5835.077447,-5835.077447
5.7664875,5681.114231,-5681.114231
5.7822,5528.80707,-5528.80707
5.7979125,5378.182291,-5378.182291
5.813625,5229.267435,-5229.267435
5.8293375,5082.09135,-5082.09135
5.84505,4936.68431,-4936.68431
5.8607625,4793.078133,-4793.078133
5.876475,4651.306327,-4651.306327
5.8921875,4511.404249,-4511.404249
5.89218788,4511.400884,-4511.400884
5.9079,4334.382544,-4334.382544
5.9236125,4120.416109,-4120.416109
5.939325,3908.712834,-3908.712834
5.9550375,3699.317582,-3699.317582
5.97075,3492.278298,-3492.278298
5.9864625,3287.646383,-3287.646383
6.002175,3085.47715,-3085.47715
6.0178875,2885.830354,-2885.830354
6.0336,2688.770837,-2688.770837
6.0493125,2494.369312,-2494.369312
6.065025,2302.703324,-2302.703324
6.0807375,2113.858453,-2113.858453
6.09645,1927.929836,-1927.929836
6.1121625,1745.024123,-1745.024123
6.127875,1565.262052,-1565.262052
6.1435875,1388.781917,-1388.781917
6.1593,1215.744361,-1215.744361
6.1750125,1046.339248,-1046.339248
6.190725,880.7959412,-880.7959412
6.2064375,719.3995276,-719.3995276
6.22215,562.5183981,-562.5183981
6.2378625,410.6562029,-410.6562029
6.253575,264.5667304,-264.5667304
6.2692875,125.5955543,-125.5955543
6.285,0,0
